plot_year,Browsing_percent_plot,old_browsing_plot,young_browsing_plot,no_browsing_plot,height_plot,growth,FAI,site,NPP_July2016,NPP_June2016,EffectiveMooseDensitykm2,year_site,mean.temp,summ.temp,wint.temp,rain.GP,rain.year,rain.wint,site_Treatment,territory,EX,build_year,sample_year,time,date,month,day,plot,species_cor,nom_lat,missingpicnote,LON..NAD83.MTM..Modified.Transverse.Mercator..zone.6.,LAT..NAD83.MTM..Modified.Transverse.Mercator..zone.6.,LON.E,LAT.N,browsingfactorial
101_2012,0,0,0,4,25.1,2.537704316,1.084406154,MA1002,6.5,4.880000114,3.3,2012_MA1002,3.266575342,14.85860656,-4.883241758,2.674590164,02/01/1900,2.858791209,MA1002_EX,Matane,EX,2010,2012,T2,17/06/2012,6,17,101,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
101_2013,0,0,0,11.6,35.28,-0.169512666,2.994247751,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_EX,Matane,EX,2010,2013,T3,NA,NA,NA,101,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
101_2014,0,0,0,10.72,34.6,0.173219956,3.678995031,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_EX,Matane,EX,2010,2014,T4,31/05/2014,5,31,101,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
101_2015,NA,NA,NA,NA,35.29487179,0.593845629,3.687903014,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_EX,Matane,EX,2010,2015,T5,31/05/2015,5,31,101,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,NA
102_2011,100,1,0,0,35.5,0,0.551883462,MA1002,6.5,4.880000114,3.3,2011_MA1002,3.190710383,13.9647541,-4.734699454,3.342622951,02/01/1900,1.975409836,MA1002_EX,Matane,EX,2010,2011,T1,08/07/2011,7,8,102,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,yes
102_2014,0,0,0,1.625,21.75,0.405085414,2.915338142,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_EX,Matane,EX,2010,2014,T4,31/05/2014,5,31,102,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
102_2015,NA,NA,NA,NA,23.375,0.95159118,2.072915334,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_EX,Matane,EX,2010,2015,T5,31/05/2015,5,31,102,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,NA
103_2011,25,1,0,3,31,-0.332377776,0.284008079,MA1002,6.5,4.880000114,3.3,2011_MA1002,3.190710383,13.9647541,-4.734699454,3.342622951,02/01/1900,1.975409836,MA1002_EX,Matane,EX,2010,2011,T1,08/07/2011,7,8,103,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,yes
103_2012,0,0,0,16,29.66666667,1.911172209,0.567196555,MA1002,6.5,4.880000114,3.3,2012_MA1002,3.266575342,14.85860656,-4.883241758,2.674590164,02/01/1900,2.858791209,MA1002_EX,Matane,EX,2010,2012,T2,17/06/2012,6,17,103,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
103_2013,0,0,0,20.16666667,37.33333333,-0.083094444,1.285863726,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_EX,Matane,EX,2010,2013,T3,NA,NA,NA,103,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
103_2014,0,0,0,12.31578947,37,-1.883099762,2.365094788,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_EX,Matane,EX,2010,2014,T4,31/05/2014,5,31,103,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
103_2015,NA,NA,NA,NA,29.44594595,1.147008415,3.275925526,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_EX,Matane,EX,2010,2015,T5,31/05/2015,5,31,103,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,NA
104_2011,0,0,0,5,37.33333333,-2.554250949,0.603256748,MA1002,6.5,4.880000114,3.3,2011_MA1002,3.190710383,13.9647541,-4.734699454,3.342622951,02/01/1900,1.975409836,MA1002_EX,Matane,EX,2010,2011,T1,08/07/2011,7,8,104,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
104_2012,2.84057971,0.608695652,0,9.391304348,27.08695652,1.829618519,1.911905628,MA1002,6.5,4.880000114,3.3,2012_MA1002,3.266575342,14.85860656,-4.883241758,2.674590164,02/01/1900,2.858791209,MA1002_EX,Matane,EX,2010,2012,T2,17/06/2012,6,17,104,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
104_2013,0,0,0,15.70588235,34.42647059,3.134371303,2.50206955,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_EX,Matane,EX,2010,2013,T3,NA,NA,NA,104,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
104_2014,0,0,0,17.41860465,47,-0.432091108,3.274079547,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_EX,Matane,EX,2010,2014,T4,31/05/2014,5,31,104,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
104_2015,NA,NA,NA,NA,45.26666667,2.835338228,3.039955506,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_EX,Matane,EX,2010,2015,T5,31/05/2015,5,31,104,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,NA
105_2011,0,0,0,4,31,1.49569999,0.284008079,MA1002,6.5,4.880000114,3.3,2011_MA1002,3.190710383,13.9647541,-4.734699454,3.342622951,02/01/1900,1.975409836,MA1002_EX,Matane,EX,2010,2011,T1,08/07/2011,7,8,105,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
105_2012,0,0,0,16,37,2.742116648,0.852798403,MA1002,6.5,4.880000114,3.3,2012_MA1002,3.266575342,14.85860656,-4.883241758,2.674590164,02/01/1900,2.858791209,MA1002_EX,Matane,EX,2010,2012,T2,17/06/2012,6,17,105,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
105_2013,0,0,0,24,48,-3.988533307,1.638685135,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_EX,Matane,EX,2010,2013,T3,NA,NA,NA,105,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
105_2014,0,0,0,15.8,32,-0.045324242,1.828023854,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_EX,Matane,EX,2010,2014,T4,31/05/2014,5,31,105,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
105_2015,NA,NA,NA,NA,31.81818182,1.193808163,1.732967412,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_EX,Matane,EX,2010,2015,T5,31/05/2015,5,31,105,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,NA
106_2011,33.33333333,1.333333333,0,1.333333333,33.33333333,-2.376501095,0.852024238,MA1002,6.5,4.880000114,3.3,2011_MA1002,3.190710383,13.9647541,-4.734699454,3.342622951,02/01/1900,1.975409836,MA1002_EX,Matane,EX,2010,2011,T1,08/07/2011,7,8,106,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
106_2012,20,0.4,0,2,23.8,1.452075407,0.97540034,MA1002,6.5,4.880000114,3.3,2012_MA1002,3.266575342,14.85860656,-4.883241758,2.674590164,02/01/1900,2.858791209,MA1002_EX,Matane,EX,2010,2012,T2,17/06/2012,6,17,106,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,yes
106_2013,0,0,0,7,29.625,1.19745029,2.151011028,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_EX,Matane,EX,2010,2013,T3,NA,NA,NA,106,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
106_2014,0,0,0,10.28571429,34.42857143,-1.806494793,4.471301005,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_EX,Matane,EX,2010,2014,T4,31/05/2014,5,31,106,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
106_2015,NA,NA,NA,NA,27.18181818,3.705256794,2.551029062,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_EX,Matane,EX,2010,2015,T5,31/05/2015,5,31,106,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,NA
107_2013,0,0,0,2.666666667,21.8,2.002576098,1.581560639,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_EX,Matane,EX,2010,2013,T3,NA,NA,NA,107,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
107_2014,0,0,0,3.666666667,29.83333333,0.185364529,1.925829123,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_EX,Matane,EX,2010,2014,T4,31/05/2014,5,31,107,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
107_2015,NA,NA,NA,NA,30.57692308,2.598299342,2.236508616,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_EX,Matane,EX,2010,2015,T5,31/05/2015,5,31,107,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,NA
108_2012,0,0,0,2.333333333,26.66666667,0.830944439,1.365607075,MA1002,6.5,4.880000114,3.3,2012_MA1002,3.266575342,14.85860656,-4.883241758,2.674590164,02/01/1900,2.858791209,MA1002_EX,Matane,EX,2010,2012,T2,17/06/2012,6,17,108,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
108_2013,0,0,0,8.166666667,30,0.592047913,1.939387882,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_EX,Matane,EX,2010,2013,T3,NA,NA,NA,108,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
108_2014,0,0,0,7.875,32.375,0.405085414,2.273612965,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_EX,Matane,EX,2010,2014,T4,31/05/2014,5,31,108,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,no
108_2015,NA,NA,NA,NA,34,3.240683312,3.51007929,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_EX,Matane,EX,2010,2015,T5,31/05/2015,5,31,108,Abibal,Abies balsamea,ok,362382.0672,5401243.758,-66.71693371,48.74696297,NA
109_2011,100,8,0,0,34.5,-5.442686075,0.284008079,MA1002,6.5,4.880000114,3.3,2011_MA1002,3.190710383,13.9647541,-4.734699454,3.342622951,02/01/1900,1.975409836,MA1002_TE,Matane,TE,2010,2011,T1,08/07/2011,7,8,109,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,yes
109_2012,52.77777778,1,0,1.666666667,12.66666667,2.575927761,1.06856868,MA1002,6.5,4.880000114,3.3,2012_MA1002,3.266575342,14.85860656,-4.883241758,2.674590164,02/01/1900,2.858791209,MA1002_TE,Matane,TE,2010,2012,T2,17/06/2012,6,17,109,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,yes
109_2013,0,0,0,1.75,23,-0.083094444,1.382906377,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_TE,Matane,TE,2010,2013,T3,NA,NA,NA,109,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,no
109_2014,31.58730159,0.714285714,0.333333333,2,22.66666667,-0.188347406,3.62838134,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_TE,Matane,TE,2010,2014,T4,31/05/2014,5,31,109,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,no
109_2015,NA,NA,NA,NA,21.91111111,1.278047943,5.223765044,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_TE,Matane,TE,2010,2015,T5,31/05/2015,5,31,109,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,NA
11_2011,0,0,0,9.076923077,31.69230769,2.363606172,5.150397969,CA1001,6.5,5.050000191,2,2011_CA1001,2.940027322,14.06721311,-5.328688525,3.37704918,02/01/1900,2.069398907,CA1001_EX,Casault,EX,2010,2011,T1,19/07/2011,7,19,11,Abibal,Abies balsamea,ok,332458.5303,5365787.26,-67.12621307,48.43013629,no
11_2012,0,0,0,10.43478261,41.17391304,4.370094454,3.611645109,CA1001,6.5,5.050000191,2,2012_CA1001,3.109178082,14.90819672,-5.336813187,2.631967213,02/01/1900,2.818681319,CA1001_EX,Casault,EX,2010,2012,T2,27/05/2012,5,27,11,Abibal,Abies balsamea,ok,332458.5303,5365787.26,-67.12621307,48.43013629,no
11_2013,0,0,0,25.5,58.70454545,3.425127797,3.393831009,CA1001,6.5,5.050000191,2,2013_CA1001,0.843013699,13.4795082,-8.667857143,2.714754098,2.881917808,3.002747253,CA1001_EX,Casault,EX,2010,2013,T3,NA,NA,NA,11,Abibal,Abies balsamea,ok,332458.5303,5365787.26,-67.12621307,48.43013629,no
11_2014,0,0,0,33.96296296,72.44444444,5.198942373,4.462069566,CA1001,6.5,5.050000191,2,2014_CA1001,1.270273973,14.89262295,-8.703021978,3.249180328,02/01/1900,2.63021978,CA1001_EX,Casault,EX,2010,2014,T4,25/05/2014,5,25,11,Abibal,Abies balsamea,ok,332458.5303,5365787.26,-67.12621307,48.43013629,no
11_2015,NA,NA,NA,NA,93.3,-1.591258601,4.664229727,CA1001,6.5,5.050000191,2,2015_CA1001,2.224863388,14.30286885,-6.178142077,3.221311475,02/01/1900,2.657377049,CA1001_EX,Casault,EX,2010,2015,T5,26/05/2015,5,26,11,Abibal,Abies balsamea,ok,332458.5303,5365787.26,-67.12621307,48.43013629,NA
110_2014,44.44444445,0.833333333,0,0.666666667,17.33333333,-0.825009121,1.181258838,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_TE,Matane,TE,2010,2014,T4,31/05/2014,5,31,110,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,yes
110_2015,NA,NA,NA,NA,14.02380952,0.754378844,2.779882824,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_TE,Matane,TE,2010,2015,T5,31/05/2015,5,31,110,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,NA
111_2014,16.66666667,0,0.166666667,1.333333333,21.83333333,-0.984349566,1.44909166,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_TE,Matane,TE,2010,2014,T4,31/05/2014,5,31,111,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,no
111_2015,NA,NA,NA,NA,17.88461538,0.659602913,3.792158315,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_TE,Matane,TE,2010,2015,T5,31/05/2015,5,31,111,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,NA
112_2012,10,0,0.5,4,17,0.498566663,1.69106547,MA1002,6.5,4.880000114,3.3,2012_MA1002,3.266575342,14.85860656,-4.883241758,2.674590164,02/01/1900,2.858791209,MA1002_TE,Matane,TE,2010,2012,T2,17/06/2012,6,17,112,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,no
112_2013,45.46703297,2.75,2.25,3.75,19,0.73597936,3.16879863,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_TE,Matane,TE,2010,2013,T3,NA,NA,NA,112,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,yes
112_2014,45.86923658,1.238095238,0.619047619,1.571428571,21.95238095,-0.061288604,4.830315726,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_TE,Matane,TE,2010,2014,T4,31/05/2014,5,31,112,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,yes
112_2015,NA,NA,NA,NA,21.70652174,0.71417352,7.603172845,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_TE,Matane,TE,2010,2015,T5,31/05/2015,5,31,112,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,NA
113_2011,100,1,0,0,26,-2.069051653,0.501337625,MA1002,6.5,4.880000114,3.3,2011_MA1002,3.190710383,13.9647541,-4.734699454,3.342622951,02/01/1900,1.975409836,MA1002_TE,Matane,TE,2010,2011,T1,08/07/2011,7,8,113,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,yes
113_2012,37.85714286,1.4,1,1.9,17.7,1.894553321,1.786827006,MA1002,6.5,4.880000114,3.3,2012_MA1002,3.266575342,14.85860656,-4.883241758,2.674590164,02/01/1900,2.858791209,MA1002_TE,Matane,TE,2010,2012,T2,17/06/2012,6,17,113,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,no
113_2013,17.82467532,1.625,0.5,3.875,25.3,-0.380157081,2.933985674,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_TE,Matane,TE,2010,2013,T3,NA,NA,NA,113,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,yes
113_2014,14.08676046,0.425,0.15,3.65,23.775,1.075884197,5.507353685,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_TE,Matane,TE,2010,2014,T4,31/05/2014,5,31,113,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,yes
113_2015,NA,NA,NA,NA,28.09090909,0.91764927,6.923069243,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_TE,Matane,TE,2010,2015,T5,31/05/2015,5,31,113,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,NA
114_2011,20,1,0,4,38,0,0.28138303,MA1002,6.5,4.880000114,3.3,2011_MA1002,3.190710383,13.9647541,-4.734699454,3.342622951,02/01/1900,1.975409836,MA1002_TE,Matane,TE,2010,2011,T1,08/07/2011,7,8,114,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,yes
114_2014,0,0,0,4.666666667,21.33333333,-0.128418686,2.030120102,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_TE,Matane,TE,2010,2014,T4,31/05/2014,5,31,114,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,no
114_2015,NA,NA,NA,NA,20.81818182,1.416382566,2.423841174,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_TE,Matane,TE,2010,2015,T5,31/05/2015,5,31,114,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,NA
115_2013,25,2,0,3,26.25,-1.251210569,2.074049098,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_TE,Matane,TE,2010,2013,T3,NA,NA,NA,115,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,yes
115_2014,23.07692308,0,0.384615385,3.538461538,21.23076923,0.241613075,3.676182397,MA1002,6.5,4.880000114,3.3,2014_MA1002,1.49630137,14.75122951,-8.147802198,3.337704918,02/01/1900,2.796153846,MA1002_TE,Matane,TE,2010,2014,T4,31/05/2014,5,31,115,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,no
115_2015,NA,NA,NA,NA,22.2,1.994266653,3.171015577,MA1002,6.5,4.880000114,3.3,2015_MA1002,2.404508197,14.18606557,-5.790710383,3.009836066,02/01/1900,2.372131148,MA1002_TE,Matane,TE,2010,2015,T5,31/05/2015,5,31,115,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,NA
116_2012,50,1,1,1.5,13,2.160455541,0.501337625,MA1002,6.5,4.880000114,3.3,2012_MA1002,3.266575342,14.85860656,-4.883241758,2.674590164,02/01/1900,2.858791209,MA1002_TE,Matane,TE,2010,2012,T2,17/06/2012,6,17,116,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,no
116_2013,23.80952381,1.666666667,0,5.666666667,21.66666667,-0.886340735,2.181104039,MA1002,6.5,4.880000114,3.3,2013_MA1002,1.141369863,13.48319672,-8.075,2.595081967,2.789315068,2.932967033,MA1002_TE,Matane,TE,2010,2013,T3,NA,NA,NA,116,Abibal,Abies balsamea,ok,362340.4968,5401277.938,-66.7174942,48.74727417,no
