site,territory,EX,build_year,sample_year,plot_year,time,date,month,day,plot,species_cor,nom_lat,height,diam,arrow,stem_state,no_browsing,young_browsing,old_browsing,Browsing_percent,sampling_area_m2,missingpicnote
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,170,12.56,Unbrowsed,Live,5,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,1_2013,T3,NA,NA,NA,1,Acespi,Acer spicatum,300,78.24,Unbrowsed,Live,47,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Abibal,Abies balsamea,19,3.3,Unbrowsed,Live,1,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Abibal,Abies balsamea,71,11.4,Unbrowsed,Live,39,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Abibal,Abies balsamea,133,25.2,Unbrowsed,Live,93,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,300,55.2,Unbrowsed,Live,120,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,214,36.3,Unbrowsed,Live,48,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,218,28.1,Unbrowsed,Live,7,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,131,16.7,Unbrowsed,Live,24,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,34,2.9,Unbrowsed,Live,1,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,206,36.6,Unbrowsed,Live,36,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,245,47.2,Unbrowsed,Live,32,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,300,58.8,Unbrowsed,Live,51,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,125,10.6,Unbrowsed,Live,3,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,228,20.5,Unbrowsed,Live,13,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,216,15.6,Unbrowsed,Live,2,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,300,39.6,Unbrowsed,Live,39,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,1_2014,T4,25/05/2014,5,25,1,Acespi,Acer spicatum,129,9.6,Unbrowsed,Live,5,0,0,0,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Abibal,Abies balsamea,88,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Abibal,Abies balsamea,7,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Abibal,Abies balsamea,22,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Abibal,Abies balsamea,140,NA,Browsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Abibal,Abies balsamea,52,NA,Browsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Acespi,Acer spicatum,292,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Acespi,Acer spicatum,257,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Acespi,Acer spicatum,138,NA,Browsed,Mutilate,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Acespi,Acer spicatum,300,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Acespi,Acer spicatum,149,NA,Browsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Acespi,Acer spicatum,128,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Acespi,Acer spicatum,247,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Acespi,Acer spicatum,300,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,1_2015,T5,26/05/2015,5,26,1,Acespi,Acer spicatum,252,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Abibal,Abies balsamea,160,33.1,Unbrowsed,Mutilate,164,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Abibal,Abies balsamea,33,7.7,Unbrowsed,Live,11,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Abibal,Abies balsamea,95,13.9,Unbrowsed,Live,75,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Abibal,Abies balsamea,22,4,Unbrowsed,Live,4,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Acespi,Acer spicatum,166,16.7,Unbrowsed,Mutilate,10,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Acespi,Acer spicatum,266,37.8,Unbrowsed,Live,27,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Acespi,Acer spicatum,275,31.5,Unbrowsed,Live,14,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Acespi,Acer spicatum,280,39,Unbrowsed,Live,38,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Acespi,Acer spicatum,296,53.6,Unbrowsed,Live,30,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Acespi,Acer spicatum,313,64.3,Unbrowsed,Live,124,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Acespi,Acer spicatum,333,34,Unbrowsed,Live,47,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Acespi,Acer spicatum,84,6.8,Browsed,Live,1,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Acespi,Acer spicatum,148,16.3,Unbrowsed,Mutilate,6,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,1_2016,T6,29/05/2016,5,29,1,Acespi,Acer spicatum,491,44.8,Unbrowsed,Live,50,0,0,0,4,ok
CA1001,Casault,EX,2010,2010,2_2010,T0,29/06/2010,6,29,2,Abibal,Abies balsamea,23,NA,Unbrowsed,NA,3,0,NA,0,4,ok
CA1001,Casault,EX,2010,2010,2_2010,T0,29/06/2010,6,29,2,Abibal,Abies balsamea,40,NA,Unbrowsed,NA,13,0,NA,0,4,ok
CA1001,Casault,EX,2010,2010,2_2010,T0,29/06/2010,6,29,2,Betula,Betula sp.,80,NA,Unbrowsed,NA,10,0,NA,0,4,ok
CA1001,Casault,EX,2010,2011,2_2011,T1,19/07/2011,7,19,2,Abibal,Abies balsamea,42,NA,Unbrowsed,Live,13,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,2_2011,T1,19/07/2011,7,19,2,Abibal,Abies balsamea,19,NA,Unbrowsed,Dead,2,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,2_2011,T1,19/07/2011,7,19,2,Abibal,Abies balsamea,23,NA,Unbrowsed,Live,7,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,2_2011,T1,19/07/2011,7,19,2,Abibal,Abies balsamea,20,NA,Unbrowsed,Live,5,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,2_2011,T1,19/07/2011,7,19,2,Betula,Betula sp.,68,NA,Unbrowsed,Live,25,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,2_2012,T2,27/05/2012,5,27,2,Abibal,Abies balsamea,54,NA,Unbrowsed,Live,15,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,2_2012,T2,27/05/2012,5,27,2,Abibal,Abies balsamea,31,NA,Unbrowsed,Live,12,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,2_2012,T2,27/05/2012,5,27,2,Abibal,Abies balsamea,26,NA,Unbrowsed,Live,7,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,2_2012,T2,27/05/2012,5,27,2,Abibal,Abies balsamea,20,NA,Unbrowsed,Live,1,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,2_2012,T2,27/05/2012,5,27,2,Betula,Betula sp.,103,NA,Unbrowsed,Live,49,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,2_2013,T3,NA,NA,NA,2,Abibal,Abies balsamea,44,11.42,Unbrowsed,Decaying,0,0,0,NA,4,ok
CA1001,Casault,EX,2010,2013,2_2013,T3,NA,NA,NA,2,Abibal,Abies balsamea,58.5,16.12,Unbrowsed,Live,44,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,2_2013,T3,NA,NA,NA,2,Abibal,Abies balsamea,58,11.38,Unbrowsed,Live,17,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,2_2013,T3,NA,NA,NA,2,Abibal,Abies balsamea,87,12.86,Unbrowsed,Live,53,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,2_2013,T3,NA,NA,NA,2,Abibal,Abies balsamea,29,6.7,Unbrowsed,Live,8,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,2_2013,T3,NA,NA,NA,2,Betula,Betula sp.,152,38.34,Unbrowsed,Live,125,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,2_2014,T4,25/05/2014,5,25,2,Abibal,Abies balsamea,74,17.5,Unbrowsed,Live,59,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,2_2014,T4,25/05/2014,5,25,2,Abibal,Abies balsamea,106,22,Unbrowsed,Live,52,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,2_2014,T4,25/05/2014,5,25,2,Abibal,Abies balsamea,34,5,Browsed,Live,10,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,2_2014,T4,25/05/2014,5,25,2,Abibal,Abies balsamea,60,15.7,Unbrowsed,Live,32,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,2_2014,T4,25/05/2014,5,25,2,Betula,Betula sp.,206,55.4,Unbrowsed,Live,116,0,0,0,4,ok
CA1001,Casault,EX,2010,2015,2_2015,T5,26/05/2015,5,26,2,Abibal,Abies balsamea,115,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,2_2015,T5,26/05/2015,5,26,2,Abibal,Abies balsamea,68,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,2_2015,T5,26/05/2015,5,26,2,Abibal,Abies balsamea,157,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,2_2015,T5,26/05/2015,5,26,2,Abibal,Abies balsamea,38,NA,Unbrowsed,Live,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2015,2_2015,T5,26/05/2015,5,26,2,Betula,Betula sp.,271,NA,Browsed,Mutilate,NA,NA,NA,NA,4,ok
CA1001,Casault,EX,2010,2016,2_2016,T6,29/05/2016,5,29,2,Abibal,Abies balsamea,153,22.6,Browsed,Live,126,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,2_2016,T6,29/05/2016,5,29,2,Abibal,Abies balsamea,104,18.2,Unbrowsed,Live,98,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,2_2016,T6,29/05/2016,5,29,2,Abibal,Abies balsamea,200,30.2,Unbrowsed,Live,95,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,2_2016,T6,29/05/2016,5,29,2,Abibal,Abies balsamea,56.5,7.8,Unbrowsed,Live,15,0,0,0,4,ok
CA1001,Casault,EX,2010,2016,2_2016,T6,29/05/2016,5,29,2,Betula,Betula sp.,327,79.9,Unbrowsed,Live,134,0,0,0,4,ok
CA1001,Casault,EX,2010,2010,3_2010,T0,29/06/2010,6,29,3,Abibal,Abies balsamea,10,NA,Unbrowsed,NA,1,0,NA,0,4,ok
CA1001,Casault,EX,2010,2010,3_2010,T0,29/06/2010,6,29,3,Abibal,Abies balsamea,11,NA,Unbrowsed,NA,2,0,NA,0,4,ok
CA1001,Casault,EX,2010,2010,3_2010,T0,29/06/2010,6,29,3,Acespi,Acer spicatum,55,NA,Unbrowsed,NA,2,6,NA,75,4,ok
CA1001,Casault,EX,2010,2010,3_2010,T0,29/06/2010,6,29,3,Acespi,Acer spicatum,145,NA,Browsed,NA,4,14,NA,77.77777778,4,ok
CA1001,Casault,EX,2010,2010,3_2010,T0,29/06/2010,6,29,3,Acespi,Acer spicatum,14,NA,Unbrowsed,NA,1,0,NA,0,4,ok
CA1001,Casault,EX,2010,2010,3_2010,T0,29/06/2010,6,29,3,Acespi,Acer spicatum,66,NA,Browsed,NA,4,6,NA,60,4,ok
CA1001,Casault,EX,2010,2011,3_2011,T1,19/07/2011,7,19,3,Acespi,Acer spicatum,59,NA,Unbrowsed,Live,9,0,8,47.05882353,4,ok
CA1001,Casault,EX,2010,2011,3_2011,T1,19/07/2011,7,19,3,Acespi,Acer spicatum,62,NA,Unbrowsed,Live,4,0,2,33.33333333,4,ok
CA1001,Casault,EX,2010,2011,3_2011,T1,19/07/2011,7,19,3,Acespi,Acer spicatum,23,NA,Unbrowsed,Live,3,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,3_2011,T1,19/07/2011,7,19,3,Acespi,Acer spicatum,18,NA,Unbrowsed,Live,2,0,0,0,4,ok
CA1001,Casault,EX,2010,2011,3_2011,T1,19/07/2011,7,19,3,Acespi,Acer spicatum,51,NA,Unbrowsed,Live,10,0,4,28.57142857,4,ok
CA1001,Casault,EX,2010,2011,3_2011,T1,19/07/2011,7,19,3,Acespi,Acer spicatum,38,NA,Unbrowsed,Live,9,0,5,35.71428571,4,ok
CA1001,Casault,EX,2010,2011,3_2011,T1,19/07/2011,7,19,3,Acespi,Acer spicatum,69,NA,Unbrowsed,Live,9,0,3,25,4,ok
CA1001,Casault,EX,2010,2011,3_2011,T1,19/07/2011,7,19,3,Acespi,Acer spicatum,135,NA,Unbrowsed,Live,18,0,15,45.45454545,4,ok
CA1001,Casault,EX,2010,2011,3_2011,T1,19/07/2011,7,19,3,Acespi,Acer spicatum,19,NA,Unbrowsed,Live,3,0,3,50,4,ok
CA1001,Casault,EX,2010,2012,3_2012,T2,27/05/2012,5,27,3,Abibal,Abies balsamea,25,NA,Unbrowsed,Live,1,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,3_2012,T2,27/05/2012,5,27,3,Abibal,Abies balsamea,22,NA,Unbrowsed,Live,1,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,3_2012,T2,27/05/2012,5,27,3,Acespi,Acer spicatum,93,NA,Unbrowsed,Live,10,0,0,0,4,ok
CA1001,Casault,EX,2010,2012,3_2012,T2,27/05/2012,5,27,3,Prupen,Prunus pensylvanica,51,NA,Unbrowsed,Live,5,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,154,12.66,Unbrowsed,Live,2,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,119,16.08,Unbrowsed,Live,4,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,109,12.1,Unbrowsed,Live,3,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,110,10,Unbrowsed,Live,4,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,70,7,Unbrowsed,Live,2,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,162,38.34,Unbrowsed,Live,22,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,191,34.6,Unbrowsed,Live,26,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,73.5,7.26,Unbrowsed,Live,1,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,86,7.3,Unbrowsed,Live,1,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,123.5,24.94,Unbrowsed,Live,16,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,162,31.8,Unbrowsed,Live,25,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,174.5,26.68,Unbrowsed,Live,13,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Acespi,Acer spicatum,154,34.52,Unbrowsed,Live,30,0,0,0,4,ok
CA1001,Casault,EX,2010,2013,3_2013,T3,NA,NA,NA,3,Prupen,Prunus pensylvanica,137,15.78,Unbrowsed,Live,12,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,3_2014,T4,25/05/2014,5,25,3,Abibal,Abies balsamea,53,8.4,Unbrowsed,Live,14,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,3_2014,T4,25/05/2014,5,25,3,Acespi,Acer spicatum,151,33.7,Unbrowsed,Live,11,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,3_2014,T4,25/05/2014,5,25,3,Acespi,Acer spicatum,109,18.7,Unbrowsed,Live,6,0,0,0,4,ok
CA1001,Casault,EX,2010,2014,3_2014,T4,25/05/2014,5,25,3,Acespi,Acer spicatum,185,41.2,Unbrowsed,Live,17,0,0,0,4,ok
